original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed,token_to_text,no_topic,label_aspek,sentimen,,,,Jumlah,Positif,Negatif,
"informasi yang disampaikan sangat membantu		",informasi yang disampaikan sangat membantu,informasi yang disampaikan sangat membantu,"['informasi', 'yang', 'disampaikan', 'sangat', 'membantu']","['penyampaian', 'yang', 'disampaikan', 'sangat', 'membantu']","['penyampaian', 'disampaikan', 'membantu']",penyampaian disampaikan membantu,2,Materi dan Narasumber,Positif,,,,,,,
"Sangat menarik dan menambah ilmu		",Sangat menarik dan menambah ilmu,sangat menarik dan menambah ilmu,"['sangat', 'menarik', 'dan', 'menambah', 'ilmu']","['sangat', 'seru', 'dan', 'tambah', 'pengalaman']","['seru', 'tambah', 'pengalaman']",seru tambah pengalaman,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Udah bagus, mungkin kedepannya agar lebih tepat waktu		",Udah bagus mungkin kedepannya agar lebih tepat waktu,udah bagus mungkin kedepannya agar lebih tepat waktu,"['udah', 'bagus', 'mungkin', 'kedepannya', 'agar', 'lebih', 'tepat', 'waktu']","['sudah', 'keren', 'mungkin', 'ke depannya', 'agar', 'lebih', 'tepat', 'waktu']","['keren', 'mungkin', 'ke depannya', 'tepat', 'waktu']",keren mungkin ke depannya tepat waktu,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Seruu dan menarik webinarnya		",Seruu dan menarik webinarnya,seruu dan menarik webinarnya,"['seruu', 'dan', 'menarik', 'webinarnya']","['seru', 'dan', 'menarik', 'seminar']","['seru', 'menarik', 'seminar']",seru menarik seminar,7,Manfaat dan Evaluasi,Positif,,,,,,,
"sudah sangat baik, semoga acara di tahun berikutnya lebih menarik. terimakasih sudah mengadakan kegiatan hari iniii!!!		",sudah sangat baik semoga acara di tahun berikutnya lebih menarik terimakasih sudah mengadakan kegiatan hari ini,sudah sangat baik semoga acara di tahun berikutnya lebih menarik terimakasih sudah mengadakan kegiatan hari ini,"['sudah', 'sangat', 'baik', 'semoga', 'acara', 'di', 'tahun', 'berikutnya', 'lebih', 'menarik', 'terimakasih', 'sudah', 'mengadakan', 'kegiatan', 'hari', 'ini']","['sudah', 'sangat', 'baik', 'semoga', 'acara', 'di', 'waktu', 'lanjut', 'lebih', 'seru', 'terima kasih', 'sudah', 'mengadakan', 'acara', 'hari', 'ini']","['baik', 'semoga', 'acara', 'waktu', 'lanjut', 'seru', 'terima kasih', 'mengadakan', 'acara', 'hari']",baik semoga acara waktu lanjut seru terima kasih mengadakan acara hari,3,Harapan Acara,Positif,,,,,,,
"Semoga kedepannya acaranya lebih keren lagi dan sukses terus untuk semuanya		",Semoga kedepannya acaranya lebih keren lagi dan sukses terus untuk semuanya,semoga kedepannya acaranya lebih keren lagi dan sukses terus untuk semuanya,"['semoga', 'kedepannya', 'acaranya', 'lebih', 'keren', 'lagi', 'dan', 'sukses', 'terus', 'untuk', 'semuanya']","['semoga', 'ke depannya', 'acara', 'lebih', 'keren', 'lagi', 'dan', 'sukses', 'terus', 'untuk', 'semua']","['semoga', 'ke depannya', 'acara', 'keren', 'sukses', 'terus']",semoga ke depannya acara keren sukses terus,3,Harapan Acara,Positif,,,,,,,
"Seru bangett, menambah wawasan.		",Seru bangett menambah wawasan,seru bangett menambah wawasan,"['seru', 'bangett', 'menambah', 'wawasan']","['seru', 'banget', 'tambah', 'pengalaman']","['seru', 'banget', 'tambah', 'pengalaman']",seru banget tambah pengalaman,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Durasi waktu quiz nya jangan cepat-cepat		",Durasi waktu quiz nya jangan cepatcepat,durasi waktu quiz nya jangan cepatcepat,"['durasi', 'waktu', 'quiz', 'nya', 'jangan', 'cepatcepat']","['durasi', 'waktu', 'kuis', 'nya', 'jangan', 'cepat']","['durasi', 'waktu', 'kuis', 'jangan', 'cepat']",durasi waktu kuis jangan cepat,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"acaranya sangat seru mungkin lebih baik lagii		",acaranya sangat seru mungkin lebih baik lagii,acaranya sangat seru mungkin lebih baik lagii,"['acaranya', 'sangat', 'seru', 'mungkin', 'lebih', 'baik', 'lagii']","['acara', 'sangat', 'seru', 'mungkin', 'lebih', 'baik', 'lagi']","['acara', 'seru', 'mungkin', 'baik']",acara seru mungkin baik,1,Kesuksesan Acara,Positif,,,,,,,
"Webinar ini sangat bermanfaat		",Webinar ini sangat bermanfaat,webinar ini sangat bermanfaat,"['webinar', 'ini', 'sangat', 'bermanfaat']","['seminar', 'ini', 'sangat', 'bermanfaat']","['seminar', 'bermanfaat']",seminar bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"tidak ada, semua terjalan dengan lancar. semangat untuk acara tahun depan agar bisa terlaksana secara offline		",tidak ada semua terjalan dengan lancar semangat untuk acara tahun depan agar bisa terlaksana secara offline,tidak ada semua terjalan dengan lancar semangat untuk acara tahun depan agar bisa terlaksana secara offline,"['tidak', 'ada', 'semua', 'terjalan', 'dengan', 'lancar', 'semangat', 'untuk', 'acara', 'tahun', 'depan', 'agar', 'bisa', 'terlaksana', 'secara', 'offline']","['tidak', 'ada', 'semua', 'terlaksana', 'dengan', 'sukses', 'semangat', 'untuk', 'acara', 'waktu', 'depan', 'agar', 'bisa', 'terlaksana', 'secara', 'luring']","['terlaksana', 'sukses', 'semangat', 'acara', 'waktu', 'depan', 'terlaksana', 'luring']",terlaksana sukses semangat acara waktu depan terlaksana luring,3,Harapan Acara,Positif,,,,,,,
"nanti kalo ada quizz lagi, waktunya agak dipanjangin ya kak		",nanti kalo ada quizz lagi waktunya agak dipanjangin ya kak,nanti kalo ada quizz lagi waktunya agak dipanjangin ya kak,"['nanti', 'kalo', 'ada', 'quizz', 'lagi', 'waktunya', 'agak', 'dipanjangin', 'ya', 'kak']","['nanti', 'kalau', 'ada', 'kuis', 'lagi', 'waktu', 'agak', 'diperpanjang', 'ya', 'kakak']","['kuis', 'waktu', 'diperpanjang', 'kakak']",kuis waktu diperpanjang kakak,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Keren acaranya, semangat terus UPN ""VETERAN""		",Keren acaranya semangat terus UPN VETERAN,keren acaranya semangat terus upn veteran,"['keren', 'acaranya', 'semangat', 'terus', 'upn', 'veteran']","['keren', 'acara', 'semangat', 'terus', 'upn', 'veteran']","['keren', 'acara', 'semangat', 'terus', 'upn', 'veteran']",keren acara semangat terus upn veteran,1,Kesuksesan Acara,Positif,,,,,,,
"Menurut saya materi yang diberikan cukup komplit dan pematerinya ramah		",Menurut saya materi yang diberikan cukup komplit dan pematerinya ramah,menurut saya materi yang diberikan cukup komplit dan pematerinya ramah,"['menurut', 'saya', 'materi', 'yang', 'diberikan', 'cukup', 'komplit', 'dan', 'pematerinya', 'ramah']","['menurut', 'saya', 'materi', 'yang', 'diberikan', 'cukup', 'lengkap', 'dan', 'narasumber', 'ramah']","['materi', 'diberikan', 'cukup', 'lengkap', 'narasumber', 'ramah']",materi diberikan cukup lengkap narasumber ramah,2,Materi dan Narasumber,Positif,,,,,,,
"Acara terlambat hampir 1 jam, mungkin bisa dperbaiki.		",Acara terlambat hampir jam mungkin bisa dperbaiki,acara terlambat hampir jam mungkin bisa dperbaiki,"['acara', 'terlambat', 'hampir', 'jam', 'mungkin', 'bisa', 'dperbaiki']","['acara', 'terlambat', 'hampir', 'waktu', 'mungkin', 'bisa', 'perbaiki']","['acara', 'terlambat', 'hampir', 'waktu', 'mungkin', 'perbaiki']",acara terlambat hampir waktu mungkin perbaiki,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"materinya keren		",materinya keren,materinya keren,"['materinya', 'keren']","['materi', 'keren']","['materi', 'keren']",materi keren,2,Materi dan Narasumber,Positif,,,,,,,
"Sudah Baik Cukup Ditingkatkan		",Sudah Baik Cukup Ditingkatkan,sudah baik cukup ditingkatkan,"['sudah', 'baik', 'cukup', 'ditingkatkan']","['sudah', 'baik', 'cukup', 'ditingkatkan']","['baik', 'cukup', 'ditingkatkan']",baik cukup ditingkatkan,1,Kesuksesan Acara,Positif,,,,,,,
"acaranya seru		",acaranya seru,acaranya seru,"['acaranya', 'seru']","['acara', 'seru']","['acara', 'seru']",acara seru,1,Kesuksesan Acara,Positif,,,,,,,
"Tidak ada, Selama saya mengikuti webinar ini saya sangat enjoy dan juga penyampaian materinya juga sangat menarik dan juga bermanfaat bagi masa depan.		",Tidak ada Selama saya mengikuti webinar ini saya sangat enjoy dan juga penyampaian materinya juga sangat menarik dan juga bermanfaat bagi masa depan,tidak ada selama saya mengikuti webinar ini saya sangat enjoy dan juga penyampaian materinya juga sangat menarik dan juga bermanfaat bagi masa depan,"['tidak', 'ada', 'selama', 'saya', 'mengikuti', 'webinar', 'ini', 'saya', 'sangat', 'enjoy', 'dan', 'juga', 'penyampaian', 'materinya', 'juga', 'sangat', 'menarik', 'dan', 'juga', 'bermanfaat', 'bagi', 'masa', 'depan']","['tidak', 'ada', 'selama', 'saya', 'ikut', 'seminar', 'ini', 'saya', 'sangat', 'menikmati', 'dan', 'juga', 'penyampaian', 'materi', 'juga', 'sangat', 'seru', 'dan', 'juga', 'bermanfaat', 'bagi', 'masa', 'depan']","['selama', 'ikut', 'seminar', 'menikmati', 'penyampaian', 'materi', 'seru', 'bermanfaat', 'masa', 'depan']",selama ikut seminar menikmati penyampaian materi seru bermanfaat masa depan,2,Materi dan Narasumber,Positif,,,,,,,
"Terima kasih untuk semua Pihak yang terlibat serta Narasumber yang sangat Hebat.		",Terima kasih untuk semua Pihak yang terlibat serta Narasumber yang sangat Hebat,terima kasih untuk semua pihak yang terlibat serta narasumber yang sangat hebat,"['terima', 'kasih', 'untuk', 'semua', 'pihak', 'yang', 'terlibat', 'serta', 'narasumber', 'yang', 'sangat', 'hebat']","['terima', 'kasih', 'untuk', 'semua', 'pihak', 'yang', 'terlibat', 'serta', 'narasumber', 'yang', 'sangat', 'keren']","['terima', 'kasih', 'pihak', 'terlibat', 'narasumber', 'keren']",terima kasih pihak terlibat narasumber keren,2,Materi dan Narasumber,Positif,,,,,,,
"pematerinya keren - keren. sarannya bisa semakin banyak lagi pemateri yang diundang.		",pematerinya keren keren sarannya bisa semakin banyak lagi pemateri yang diundang,pematerinya keren keren sarannya bisa semakin banyak lagi pemateri yang diundang,"['pematerinya', 'keren', 'keren', 'sarannya', 'bisa', 'semakin', 'banyak', 'lagi', 'pemateri', 'yang', 'diundang']","['narasumber', 'keren', 'keren', 'usulan', 'bisa', 'semakin', 'banyak', 'lagi', 'narasumber', 'yang', 'undang']","['narasumber', 'keren', 'keren', 'usulan', 'semakin', 'banyak', 'narasumber', 'undang']",narasumber keren keren usulan semakin banyak narasumber undang,2,Materi dan Narasumber,Positif,,,,,,,
"Sering-sering ya kakak panitia ngebuat webinar bermanfaat seperti ini ??		",Seringsering ya kakak panitia ngebuat webinar bermanfaat seperti ini,seringsering ya kakak panitia ngebuat webinar bermanfaat seperti ini,"['seringsering', 'ya', 'kakak', 'panitia', 'ngebuat', 'webinar', 'bermanfaat', 'seperti', 'ini']","['sering', 'ya', 'kakak', 'penyelenggara', 'membuat', 'seminar', 'bermanfaat', 'seperti', 'ini']","['sering', 'kakak', 'penyelenggara', 'membuat', 'seminar', 'bermanfaat']",sering kakak penyelenggara membuat seminar bermanfaat,4,Antusiasme Peserta,Positif,,,,,,,
"mungkin bisa lebih tepat waktu, trimakasiii semangat ><		",mungkin bisa lebih tepat waktu trimakasi semangat,mungkin bisa lebih tepat waktu trimakasi semangat,"['mungkin', 'bisa', 'lebih', 'tepat', 'waktu', 'trimakasi', 'semangat']","['mungkin', 'bisa', 'lebih', 'tepat', 'waktu', 'terima kasih', 'semangat']","['mungkin', 'tepat', 'waktu', 'terima kasih', 'semangat']",mungkin tepat waktu terima kasih semangat,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Seru sekali acaranya		",Seru sekali acaranya,seru sekali acaranya,"['seru', 'sekali', 'acaranya']","['seru', 'sekali', 'acara']","['seru', 'sekali', 'acara']",seru sekali acara,4,Antusiasme Peserta,Positif,,,,,,,
"Kenapa kok fotoku pas mangappp dimasukin snap ig nya ????????		",Kenapa kok fotoku pas mangap dimasukin snap ig nya,kenapa kok fotoku pas mangap dimasukin snap ig nya,"['kenapa', 'kok', 'fotoku', 'pas', 'mangap', 'dimasukin', 'snap', 'ig', 'nya']","['kenapa', 'kok', 'foto', 'pas', 'membuka mulut', 'masuk', 'snap', 'Instagram', 'nya']","['foto', 'pas', 'membuka mulut', 'masuk', 'cerita', 'Instagram']",foto pas membuka mulut masuk cerita Instagram,7,Manfaat dan Evaluasi,Negatif,,,,,,,
"baguss sekali, semoga kedepannya diadakan lagi		",baguss sekali semoga kedepannya diadakan lagi,baguss sekali semoga kedepannya diadakan lagi,"['baguss', 'sekali', 'semoga', 'kedepannya', 'diadakan', 'lagi']","['keren', 'sekali', 'semoga', 'ke depannya', 'mengadakan', 'lagi']","['keren', 'sekali', 'semoga', 'ke depannya', 'mengadakan']",keren sekali semoga ke depannya mengadakan,1,Kesuksesan Acara,Positif,,,,,,,
"acaranya keren mantap		",acaranya keren mantap,acaranya keren mantap,"['acaranya', 'keren', 'mantap']","['acara', 'keren', 'baik']","['acara', 'keren', 'baik']",acara keren baik,1,Kesuksesan Acara,Positif,,,,,,,
"semoga kedepannya acaranya lebih baik lagi		",semoga kedepannya acaranya lebih baik lagi,semoga kedepannya acaranya lebih baik lagi,"['semoga', 'kedepannya', 'acaranya', 'lebih', 'baik', 'lagi']","['semoga', 'ke depannya', 'acara', 'lebih', 'baik', 'lagi']","['semoga', 'ke depannya', 'acara', 'baik']",semoga ke depannya acara baik,3,Harapan Acara,Negatif,,,,,,,
"semoga lebih baik dan berkembang kedepannya		",semoga lebih baik dan berkembang kedepannya,semoga lebih baik dan berkembang kedepannya,"['semoga', 'lebih', 'baik', 'dan', 'berkembang', 'kedepannya']","['semoga', 'lebih', 'baik', 'dan', 'tumbuh', 'ke depannya']","['semoga', 'baik', 'tumbuh', 'ke depannya']",semoga baik tumbuh ke depannya,3,Harapan Acara,Positif,,,,,,,
"Semoga acara kedepannya lebih lancar		",Semoga acara kedepannya lebih lancar,semoga acara kedepannya lebih lancar,"['semoga', 'acara', 'kedepannya', 'lebih', 'lancar']","['semoga', 'acara', 'ke depannya', 'lebih', 'sukses']","['semoga', 'acara', 'ke depannya', 'sukses']",semoga acara ke depannya sukses,3,Harapan Acara,Positif,,,,,,,
"Semoga kedepanya masih tetap ada mengundang narasumber yang hebat lagii		",Semoga kedepanya masih tetap ada mengundang narasumber yang hebat lagii,semoga kedepanya masih tetap ada mengundang narasumber yang hebat lagii,"['semoga', 'kedepanya', 'masih', 'tetap', 'ada', 'mengundang', 'narasumber', 'yang', 'hebat', 'lagii']","['semoga', 'ke depannya', 'masih', 'tetap', 'ada', 'undang', 'narasumber', 'yang', 'keren', 'lagi']","['semoga', 'ke depannya', 'tetap', 'undang', 'narasumber', 'keren']",semoga ke depannya tetap undang narasumber keren,3,Harapan Acara,Positif,,,,,,,
"Saya sangat senang dan terbantu dengan diadakannya webinar ini karena banyak menambah wawasan saya.		",Saya sangat senang dan terbantu dengan diadakannya webinar ini karena banyak menambah wawasan saya,saya sangat senang dan terbantu dengan diadakannya webinar ini karena banyak menambah wawasan saya,"['saya', 'sangat', 'senang', 'dan', 'terbantu', 'dengan', 'diadakannya', 'webinar', 'ini', 'karena', 'banyak', 'menambah', 'wawasan', 'saya']","['saya', 'sangat', 'senang', 'dan', 'terbantu', 'dengan', 'mengadakan', 'seminar', 'ini', 'karena', 'banyak', 'tambah', 'pengalaman', 'saya']","['senang', 'terbantu', 'mengadakan', 'seminar', 'banyak', 'tambah', 'pengalaman']",senang terbantu mengadakan seminar banyak tambah pengalaman,4,Antusiasme Peserta,Positif,,,,,,,
"hanya terimakasih kakak buat ilmunya :)		",hanya terimakasih kakak buat ilmunya,hanya terimakasih kakak buat ilmunya,"['hanya', 'terimakasih', 'kakak', 'buat', 'ilmunya']","['hanya', 'terima kasih', 'kakak', 'buat', 'pengalaman']","['terima kasih', 'kakak', 'buat', 'pengalaman']",terima kasih kakak buat pengalaman,2,Materi dan Narasumber,Positif,,,,,,,
"Acara sangat mengedukasi bagi maba seperti kami ini.		",Acara sangat mengedukasi bagi maba seperti kami ini,acara sangat mengedukasi bagi maba seperti kami ini,"['acara', 'sangat', 'mengedukasi', 'bagi', 'maba', 'seperti', 'kami', 'ini']","['acara', 'sangat', 'pelajaran', 'bagi', 'mahasiswa', 'seperti', 'kami', 'ini']","['acara', 'pelajaran', 'mahasiswa']",acara pelajaran mahasiswa,4,Antusiasme Peserta,Positif,,,,,,,
"Jika acara mulai terlambat, mohon diinfokan terlebih dahulu di grup		",Jika acara mulai terlambat mohon diinfokan terlebih dahulu di grup,jika acara mulai terlambat mohon diinfokan terlebih dahulu di grup,"['jika', 'acara', 'mulai', 'terlambat', 'mohon', 'diinfokan', 'terlebih', 'dahulu', 'di', 'grup']","['jika', 'acara', 'mulai', 'terlambat', 'mohon', 'diinfokan', 'terlebih', 'dahulu', 'di', 'grup']","['acara', 'mulai', 'terlambat', 'mohon', 'diinfokan', 'terlebih', 'grup']",acara mulai terlambat mohon diinfokan terlebih grup,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"semoga kedepannya menjadi lebih baik		",semoga kedepannya menjadi lebih baik,semoga kedepannya menjadi lebih baik,"['semoga', 'kedepannya', 'menjadi', 'lebih', 'baik']","['semoga', 'ke depannya', 'menjadi', 'lebih', 'baik']","['semoga', 'ke depannya', 'menjadi', 'baik']",semoga ke depannya menjadi baik,3,Harapan Acara,Positif,,,,,,,
"materinya bagus dan bermanfaat		",materinya bagus dan bermanfaat,materinya bagus dan bermanfaat,"['materinya', 'bagus', 'dan', 'bermanfaat']","['materi', 'keren', 'dan', 'bermanfaat']","['materi', 'keren', 'bermanfaat']",materi keren bermanfaat,2,Materi dan Narasumber,Positif,,,,,,,
"Terimakasih atas materi yang sangat bermanfaat.		",Terimakasih atas materi yang sangat bermanfaat,terimakasih atas materi yang sangat bermanfaat,"['terimakasih', 'atas', 'materi', 'yang', 'sangat', 'bermanfaat']","['terima kasih', 'atas', 'materi', 'yang', 'sangat', 'bermanfaat']","['terima kasih', 'atas', 'materi', 'bermanfaat']",terima kasih atas materi bermanfaat,2,Materi dan Narasumber,Positif,,,,,,,
"Semoga kedepannya webinar seperti ini bisa lebih sering lagi diadakan		",Semoga kedepannya webinar seperti ini bisa lebih sering lagi diadakan,semoga kedepannya webinar seperti ini bisa lebih sering lagi diadakan,"['semoga', 'kedepannya', 'webinar', 'seperti', 'ini', 'bisa', 'lebih', 'sering', 'lagi', 'diadakan']","['semoga', 'ke depannya', 'seminar', 'seperti', 'ini', 'bisa', 'lebih', 'sering', 'lagi', 'mengadakan']","['semoga', 'ke depannya', 'seminar', 'sering', 'mengadakan']",semoga ke depannya seminar sering mengadakan,3,Harapan Acara,Positif,,,,,,,
"Semoga kedepannya acaranya lebih baik lagi		",Semoga kedepannya acaranya lebih baik lagi,semoga kedepannya acaranya lebih baik lagi,"['semoga', 'kedepannya', 'acaranya', 'lebih', 'baik', 'lagi']","['semoga', 'ke depannya', 'acara', 'lebih', 'baik', 'lagi']","['semoga', 'ke depannya', 'acara', 'baik']",semoga ke depannya acara baik,3,Harapan Acara,Negatif,,,,,,,
"Sudah baik acaranya cukup dipertahankan saja		",Sudah baik acaranya cukup dipertahankan saja,sudah baik acaranya cukup dipertahankan saja,"['sudah', 'baik', 'acaranya', 'cukup', 'dipertahankan', 'saja']","['sudah', 'baik', 'acara', 'cukup', 'dipertahankan', 'saja']","['baik', 'acara', 'cukup', 'dipertahankan']",baik acara cukup dipertahankan,4,Antusiasme Peserta,Positif,,,,,,,
"Webinarnya seruu pematerinya asikk santai, ada quiznya jugaa.		",Webinarnya seruu pematerinya asikk santai ada quiznya jugaa,webinarnya seruu pematerinya asikk santai ada quiznya jugaa,"['webinarnya', 'seruu', 'pematerinya', 'asikk', 'santai', 'ada', 'quiznya', 'jugaa']","['seminar', 'seru', 'narasumber', 'asyik', 'santai', 'ada', 'kuis', 'juga']","['seminar', 'seru', 'narasumber', 'asyik', 'santai', 'kuis']",seminar seru narasumber asyik santai kuis,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"No kritik, sarannya terus pertahankan semangat dan kinerjanya para panitia ??????		",No kritik sarannya terus pertahankan semangat dan kinerjanya para panitia,no kritik sarannya terus pertahankan semangat dan kinerjanya para panitia,"['no', 'kritik', 'sarannya', 'terus', 'pertahankan', 'semangat', 'dan', 'kinerjanya', 'para', 'panitia']","['tidak', 'kritik', 'usulan', 'terus', 'pertahankan', 'semangat', 'dan', 'kinerja', 'para', 'penyelenggara']","['kritik', 'usulan', 'terus', 'pertahankan', 'semangat', 'kinerja', 'penyelenggara']",kritik usulan terus pertahankan semangat kinerja penyelenggara,4,Antusiasme Peserta,Positif,,,,,,,
"kwren banget, penyampaian materi juga keren thank u kak		",kwren banget penyampaian materi juga keren thank u kak,kwren banget penyampaian materi juga keren thank u kak,"['kwren', 'banget', 'penyampaian', 'materi', 'juga', 'keren', 'thank', 'u', 'kak']","['keren', 'sekali', 'penyampaian', 'materi', 'juga', 'keren', 'terima kasih', 'kamu', 'kakak']","['keren', 'sekali', 'penyampaian', 'materi', 'keren', 'terima kasih', 'kamu', 'kakak']",keren sekali penyampaian materi keren terima kasih kamu kakak,2,Materi dan Narasumber,Positif,,,,,,,
"Acara sudah bagus, untuk kritik saran saya belom bisa menyampaikan karena saya tadi ada izin untuk leave di tengah acara		",Acara sudah bagus untuk kritik saran saya belom bisa menyampaikan karena saya tadi ada izin untuk leave di tengah acara,acara sudah bagus untuk kritik saran saya belom bisa menyampaikan karena saya tadi ada izin untuk leave di tengah acara,"['acara', 'sudah', 'bagus', 'untuk', 'kritik', 'saran', 'saya', 'belom', 'bisa', 'menyampaikan', 'karena', 'saya', 'tadi', 'ada', 'izin', 'untuk', 'leave', 'di', 'tengah', 'acara']","['acara', 'sudah', 'keren', 'untuk', 'kritik', 'usulan', 'saya', 'belom', 'bisa', 'menyampaikan', 'karena', 'saya', 'tadi', 'ada', 'izin', 'untuk', 'keluar', 'di', 'tengah', 'acara']","['acara', 'keren', 'kritik', 'usulan', 'belom', 'menyampaikan', 'tadi', 'izin', 'keluar', 'tengah', 'acara']",acara keren kritik usulan belom menyampaikan tadi izin keluar tengah acara,1,Kesuksesan Acara,Positif,,,,,,,
"Seminar sudah berjalan seru		",Seminar sudah berjalan seru,seminar sudah berjalan seru,"['seminar', 'sudah', 'berjalan', 'seru']","['seminar', 'sudah', 'terlaksana', 'seru']","['seminar', 'terlaksana', 'seru']",seminar terlaksana seru,1,Kesuksesan Acara,Positif,,,,,,,
"Aman, tidak ada kendala		",Aman tidak ada kendala,aman tidak ada kendala,"['aman', 'tidak', 'ada', 'kendala']","['aman', 'tidak', 'ada', 'kendala']","['aman', 'kendala']",aman kendala,7,Manfaat dan Evaluasi,Positif,,,,,,,
"acara sangat seru dan membantu		",acara sangat seru dan membantu,acara sangat seru dan membantu,"['acara', 'sangat', 'seru', 'dan', 'membantu']","['acara', 'sangat', 'seru', 'dan', 'membantu']","['acara', 'seru', 'membantu']",acara seru membantu,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Semoga Webinar selanjutnya yang mungkin akan diadakan bisa lebih baik lagi.		",Semoga Webinar selanjutnya yang mungkin akan diadakan bisa lebih baik lagi,semoga webinar selanjutnya yang mungkin akan diadakan bisa lebih baik lagi,"['semoga', 'webinar', 'selanjutnya', 'yang', 'mungkin', 'akan', 'diadakan', 'bisa', 'lebih', 'baik', 'lagi']","['semoga', 'seminar', 'lanjut', 'yang', 'mungkin', 'akan', 'mengadakan', 'bisa', 'lebih', 'baik', 'lagi']","['semoga', 'seminar', 'lanjut', 'mungkin', 'mengadakan', 'baik']",semoga seminar lanjut mungkin mengadakan baik,3,Harapan Acara,Positif,,,,,,,
"Sangat Menarik dan Bermanfaat		",Sangat Menarik dan Bermanfaat,sangat menarik dan bermanfaat,"['sangat', 'menarik', 'dan', 'bermanfaat']","['sangat', 'seru', 'dan', 'bermanfaat']","['seru', 'bermanfaat']",seru bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Semoga selanjutnya akan ada event event bermanfaat lagi terutama buat FIK UPN		",Semoga selanjutnya akan ada event event bermanfaat lagi terutama buat FIK UPN,semoga selanjutnya akan ada event event bermanfaat lagi terutama buat fik upn,"['semoga', 'selanjutnya', 'akan', 'ada', 'event', 'event', 'bermanfaat', 'lagi', 'terutama', 'buat', 'fik', 'upn']","['semoga', 'lanjut', 'akan', 'ada', 'acara', 'acara', 'bermanfaat', 'lagi', 'terutama', 'buat', 'fik', 'upn']","['semoga', 'lanjut', 'acara', 'acara', 'bermanfaat', 'terutama', 'buat', 'fik', 'upn']",semoga lanjut acara acara bermanfaat terutama buat fik upn,3,Harapan Acara,Positif,,,,,,,
"mohon ditingkatkan untuk komunikasi antar panitia agar tidak terjdai misscom dengan mc maupun moderator		",mohon ditingkatkan untuk komunikasi antar panitia agar tidak terjdai misscom dengan mc maupun moderator,mohon ditingkatkan untuk komunikasi antar panitia agar tidak terjdai misscom dengan mc maupun moderator,"['mohon', 'ditingkatkan', 'untuk', 'komunikasi', 'antar', 'panitia', 'agar', 'tidak', 'terjdai', 'misscom', 'dengan', 'mc', 'maupun', 'moderator']","['mohon', 'ditingkatkan', 'untuk', 'komunikasi', 'antara', 'penyelenggara', 'agar', 'tidak', 'berlangsung', 'interaksi', 'dengan', 'mc', 'maupun', 'moderator']","['mohon', 'ditingkatkan', 'komunikasi', 'penyelenggara', 'berlangsung', 'interaksi', 'mc', 'maupun', 'moderator']",mohon ditingkatkan komunikasi penyelenggara berlangsung interaksi mc maupun moderator,7,Manfaat dan Evaluasi,Positif,,,,,,,
"acaranya seru bgt loh		",acaranya seru bgt loh,acaranya seru bgt loh,"['acaranya', 'seru', 'bgt', 'loh']","['acara', 'seru', 'banget', 'loh']","['acara', 'seru', 'banget', 'loh']",acara seru banget loh,1,Kesuksesan Acara,Positif,,,,,,,
"Semoga kedepannya koneksi nya stabil dan lancar		",Semoga kedepannya koneksi nya stabil dan lancar,semoga kedepannya koneksi nya stabil dan lancar,"['semoga', 'kedepannya', 'koneksi', 'nya', 'stabil', 'dan', 'lancar']","['semoga', 'ke depannya', 'koneksi', 'nya', 'stabil', 'dan', 'sukses']","['semoga', 'ke depannya', 'koneksi', 'stabil', 'sukses']",semoga ke depannya koneksi stabil sukses,3,Harapan Acara,Positif,,,,,,,
"sempat ada bocor suara dari moderator		",sempat ada bocor suara dari moderator,sempat ada bocor suara dari moderator,"['sempat', 'ada', 'bocor', 'suara', 'dari', 'moderator']","['sempat', 'ada', 'bocor', 'suara', 'dari', 'moderator']","['sempat', 'bocor', 'suara', 'moderator']",sempat bocor suara moderator,5,Teknis dan Jaringan,Negatif,,,,,,,
